,,,,,,,,,,,,,,,,,,,,,,,,,
annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 2 April 2019],,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Jan 2015-Dec 2015,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
local authority: district / unitary (prior to April 2015),mnemonic,Numerator,Denominator,% with degree or equivalent and above - aged 16-64,Conf,Numerator,Denominator,% with higher education below degree level - aged 16-64,Conf,Numerator,Denominator,% with GCE A level or equivalent - aged 16-64,Conf,Numerator,Denominator,% with GCSE grades A-C or equivalent - aged 16-64,Conf,Numerator,Denominator,% with other qualifications (GCSE) - aged 16-64,Conf,Numerator,Denominator,% with no qualifications (GCSE) - aged 16-64,Conf
,,,,,,,,,,,,,,,,,,,,,,,,,
Darlington,E06000005,13500,62900,21.5,2.5,6600,62900,10.5,1.8,16300,62900,25.9,2.6,16200,62900,25.7,2.6,4900,62900,7.7,1.6,5500,62900,8.7,1.7
County Durham,E06000047,66100,319000,20.7,2.6,28400,319000,8.9,1.8,78800,319000,24.7,2.8,77800,319000,24.4,2.8,25100,319000,7.9,1.7,42900,319000,13.4,2.2
Hartlepool,E06000001,8800,56600,15.6,2,5200,56600,9.2,1.6,15500,56600,27.5,2.5,14800,56600,26.2,2.5,5300,56600,9.4,1.6,6800,56600,12.1,1.8
Middlesbrough,E06000002,17100,86400,19.7,2.4,6600,86400,7.6,1.6,23200,86400,26.8,2.6,19900,86400,23,2.5,9500,86400,11,1.9,10300,86400,11.9,1.9
Northumberland,E06000057,41700,185200,22.5,2.6,16100,185200,8.7,1.8,51400,185200,27.8,2.8,48300,185200,26.1,2.7,10800,185200,5.8,1.5,16900,185200,9.1,1.8
Redcar and Cleveland,E06000003,16000,80800,19.8,2.6,8700,80800,10.7,2,21900,80800,27.1,2.9,19600,80800,24.3,2.8,6400,80800,7.9,1.8,8200,80800,10.1,2
Stockton-on-Tees,E06000004,27200,118300,23,3,15500,118300,13.1,2.4,29800,118300,25.2,3.1,27000,118300,22.8,3,7000,118300,5.9,1.7,11800,118300,10,2.1
Gateshead,E08000037,30600,125000,24.5,2.8,10300,125000,8.3,1.8,27800,125000,22.3,2.7,36700,125000,29.4,3,8800,125000,7,1.7,10700,125000,8.6,1.8
Newcastle upon Tyne,E08000021,57900,197900,29.3,2.8,15800,197900,8,1.6,46300,197900,23.4,2.6,41400,197900,20.9,2.5,14500,197900,7.4,1.6,22000,197900,11.1,1.9
North Tyneside,E08000022,30700,125300,24.5,2.8,12800,125300,10.2,2,30100,125300,24,2.8,35200,125300,28.1,2.9,6700,125300,5.4,1.5,9800,125300,7.8,1.8
South Tyneside,E08000023,15400,92000,16.8,2.4,9400,92000,10.2,1.9,28500,92000,30.9,2.9,23600,92000,25.7,2.8,7400,92000,8,1.7,7800,92000,8.4,1.8
Sunderland,E08000024,30100,171300,17.6,2.5,14600,171300,8.5,1.8,43700,171300,25.5,2.8,49500,171300,28.9,2.9,15500,171300,9.1,1.9,18000,171300,10.5,2
Blackburn with Darwen,E06000008,16300,88700,18.4,2.3,6900,88700,7.8,1.6,21100,88700,23.7,2.5,20900,88700,23.6,2.5,10300,88700,11.6,1.9,13200,88700,14.8,2.1
Blackpool,E06000009,12100,81900,14.8,2.4,6100,81900,7.5,1.8,22000,81900,26.9,3,25100,81900,30.6,3.2,7800,81900,9.6,2,8700,81900,10.6,2.1
