
"annual population survey"
"ONS Crown Copyright Reserved [from Nomis on 31 May 2019]"
"Analysis   :","variable"
"Confidence :","95% confidence interval of percent figure (+/-)"
"Variable   :","Percentage of population who are ethnic minority not UK born"

"local authority: district / unitary (prior to April 2015)","mnemonic","Numerator","Denominator","Jan 2005-Dec 2005","Conf","Numerator","Denominator","Jan 2006-Dec 2006","Conf","Numerator","Denominator","Jan 2007-Dec 2007","Conf","Numerator","Denominator","Jan 2008-Dec 2008","Conf","Numerator","Denominator","Jan 2009-Dec 2009","Conf","Numerator","Denominator","Jan 2010-Dec 2010","Conf","Numerator","Denominator","Jan 2011-Dec 2011","Conf","Numerator","Denominator","Jan 2012-Dec 2012","Conf","Numerator","Denominator","Jan 2013-Dec 2013","Conf","Numerator","Denominator","Jan 2014-Dec 2014","Conf","Numerator","Denominator","Jan 2015-Dec 2015","Conf"

"Darlington","E06000005",1500,99100,1.5,0.9,1300,99800,1.3,0.8,1400,102600,1.3,0.9,1400,102000,1.4,0.9,2100,102800,2.1,1.1,3200,103500,3.1,1.3,4000,103200,3.9,1.6,1800,103800,1.8,1.0,2500,104200,2.4,1.1,2000,104300,1.9,1.0,2000,104600,1.9,1.0
"County Durham","E06000047",2000,489800,0.4,0.3,3200,492200,0.6,0.6,5800,494600,1.2,0.7,5200,498200,1.0,0.7,6400,500100,1.3,0.9,8000,503000,1.6,1.0,5400,505600,1.1,0.8,4500,506800,0.9,0.7,8500,508400,1.7,1.0,3300,509700,0.6,0.6,5400,511600,1.1,0.8
"Hartlepool","E06000001","~",89600,0.2,"*","~",89900,0.4,"*","~",90100,0.5,"*","~",90300,0.4,"*","~",90600,0.2,"*",600,90800,0.7,0.6,1300,90300,1.5,0.9,1300,91100,1.5,0.9,1400,91700,1.5,0.9,1500,91600,1.6,0.9,1200,91500,1.3,0.8
"Middlesbrough","E06000002",5500,137000,4.0,1.3,4600,136400,3.4,1.3,4600,136700,3.4,1.3,5000,136700,3.7,1.3,5900,135800,4.3,1.5,7600,136000,5.6,1.6,8300,135200,6.1,1.7,7200,137200,5.3,1.6,8500,137300,6.2,1.8,8300,137800,6.0,1.7,9000,138000,6.5,1.8
"Northumberland","E06000057",3200,305400,1.0,0.4,1400,306500,0.5,"*","!",307700,"!","!",1500,308700,0.5,"*",1200,309100,0.4,"*",3400,310000,1.1,0.8,2500,308300,0.8,0.7,1600,311100,0.5,0.5,2500,310800,0.8,0.7,1900,311100,0.6,0.6,2300,310500,0.8,0.6
"Redcar and Cleveland","E06000003",1200,136600,0.9,0.6,800,136000,0.6,0.5,"~",135300,0.3,"*","!",135300,"!","!",500,134300,0.4,"*","~",134100,0.4,"*",800,132300,0.6,"*",600,133500,0.4,"*",600,133700,0.4,"*","~",133700,0.3,"*",700,133900,0.5,"*"
"Stockton-on-Tees","E06000004",5200,183300,2.8,1.2,3500,184300,1.9,1.0,3100,185000,1.7,1.0,4700,186100,2.5,1.3,3400,187100,1.8,1.1,4600,188100,2.4,1.2,4700,187500,2.5,1.2,3800,189400,2.0,1.1,3100,190400,1.6,1.0,4100,191200,2.1,1.2,3000,192000,1.6,1.1
"Gateshead","E08000037",1200,190100,0.6,0.5,1500,191400,0.8,0.6,2900,193000,1.5,0.9,3400,194000,1.7,1.0,4800,195000,2.5,1.2,4900,196500,2.5,1.2,3700,196700,1.9,1.1,5500,197200,2.8,1.3,3600,197500,1.8,1.0,2600,198000,1.3,0.9,4300,198800,2.2,1.2
"Newcastle upon Tyne","E08000021",21800,265100,8.2,1.9,18700,264500,7.1,1.8,17700,266700,6.6,1.8,21000,267100,7.9,2.0,28700,269000,10.7,2.3,23400,273400,8.6,2.1,20500,272200,7.5,2.1,27200,278100,9.8,2.3,25300,282100,9.0,2.1,23100,284600,8.1,2.0,26300,287200,9.2,2.2
