
"annual population survey"
"ONS Crown Copyright Reserved [from Nomis on 31 May 2019]"
"Analysis   :","variable"
"Confidence :","95% confidence interval of percent figure (+/-)"
"Variable   :","Percentage of population who are ethnic minority UK born"

"local authority: district / unitary (prior to April 2015)","mnemonic","Numerator","Denominator","Jan 2005-Dec 2005","Conf","Numerator","Denominator","Jan 2006-Dec 2006","Conf","Numerator","Denominator","Jan 2007-Dec 2007","Conf","Numerator","Denominator","Jan 2008-Dec 2008","Conf","Numerator","Denominator","Jan 2009-Dec 2009","Conf","Numerator","Denominator","Jan 2010-Dec 2010","Conf","Numerator","Denominator","Jan 2011-Dec 2011","Conf","Numerator","Denominator","Jan 2012-Dec 2012","Conf","Numerator","Denominator","Jan 2013-Dec 2013","Conf","Numerator","Denominator","Jan 2014-Dec 2014","Conf","Numerator","Denominator","Jan 2015-Dec 2015","Conf"

"Darlington","E06000005",1000,99100,1.0,0.7,1300,99800,1.3,0.8,1000,102600,1.0,0.7,1300,102000,1.3,0.8,900,102800,0.9,0.7,2100,103500,2.0,1.1,2000,103200,1.9,1.1,1400,103800,1.3,0.9,1700,104200,1.7,1.0,1600,104300,1.5,0.9,1400,104600,1.4,0.8
"County Durham","E06000047",1100,489800,0.2,0.2,3000,492200,0.6,0.5,5500,494600,1.1,0.7,5200,498200,1.0,0.7,2500,500100,0.5,"*",2400,503000,0.5,"*",3000,505600,0.6,"*",3500,506800,0.7,0.6,2000,508400,0.4,"*",2100,509700,0.4,"*",3200,511600,0.6,0.6
"Hartlepool","E06000001","~",89600,0.4,"*","~",89900,0.4,"*","~",90100,0.2,"*","~",90300,0.5,"*","~",90600,0.4,"*",700,90800,0.8,0.7,600,90300,0.7,0.6,1400,91100,1.6,0.9,1100,91700,1.2,0.8,1400,91600,1.6,0.8,1200,91500,1.3,0.8
"Middlesbrough","E06000002",6400,137000,4.7,1.4,5200,136400,3.8,1.3,5800,136700,4.2,1.5,6300,136700,4.6,1.5,6800,135800,5.0,1.6,5700,136000,4.2,1.4,6900,135200,5.1,1.6,8000,137200,5.8,1.7,8500,137300,6.2,1.8,9100,137800,6.6,1.7,9100,138000,6.6,1.8
"Northumberland","E06000057",2100,305400,0.7,0.4,1800,306500,0.6,0.6,1500,307700,0.5,"*",1100,308700,0.4,"*","#",309100,0.2,"*",1800,310000,0.6,"*",1800,308300,0.6,0.6,2300,311100,0.7,0.7,1300,310800,0.4,"*",1400,311100,0.5,"*",1900,310500,0.6,0.6
"Redcar and Cleveland","E06000003",600,136600,0.4,0.4,900,136000,0.6,0.6,1000,135300,0.7,0.6,1300,135300,0.9,0.7,900,134300,0.7,0.6,700,134100,0.5,"*",1500,132300,1.1,0.8,800,133500,0.6,0.6,"~",133700,0.3,"*",800,133700,0.6,0.6,1600,133900,1.2,0.8
"Stockton-on-Tees","E06000004",4400,183300,2.4,1.1,3300,184300,1.8,1.0,4100,185000,2.2,1.2,5200,186100,2.8,1.3,3800,187100,2.0,1.1,2300,188100,1.2,0.8,3300,187500,1.7,1.0,3600,189400,1.9,1.0,3500,190400,1.8,1.1,3600,191200,1.9,1.1,5100,192000,2.6,1.4
"Gateshead","E08000037",800,190100,0.4,"*",1400,191400,0.7,0.6,2000,193000,1.0,0.7,3300,194000,1.7,0.9,2100,195000,1.1,0.8,1600,196500,0.8,0.7,2600,196700,1.3,0.9,3900,197200,2.0,1.1,1700,197500,0.8,0.7,2300,198000,1.1,0.8,2100,198800,1.1,0.8
"Newcastle upon Tyne","E08000021",9700,265100,3.7,1.3,7900,264500,3.0,1.2,10200,266700,3.8,1.4,10900,267100,4.1,1.5,10400,269000,3.8,1.4,10900,273400,4.0,1.5,14700,272200,5.4,1.8,14500,278100,5.2,1.7,14700,282100,5.2,1.6,14200,284600,5.0,1.6,13500,287200,4.7,1.6
"North Tyneside","E08000022",2600,192300,1.4,0.8,2300,194200,1.2,0.8,1700,194700,0.9,0.7,500,196300,0.3,"*",2000,197300,1.0,0.8,2100,198500,1.0,0.7,2300,197100,1.2,0.8,3700,199100,1.8,1.0,3500,200200,1.7,1.0,3900,201100,1.9,1.1,2700,200800,1.3,0.9
"South Tyneside","E08000023",1600,148000,1.0,0.7,3100,147100,2.1,1.0,2700,146900,1.8,1.0,2800,147100,1.9,1.0,2800,147000,1.9,1.0,3600,147000,2.5,1.1,3600,144400,2.5,1.2,2700,146200,1.9,1.0,2000,146800,1.3,0.8,2800,147000,1.9,1.0,3000,146800,2.1,1.1
"Sunderland","E08000024",1000,276400,0.3,"*","#",275600,0.3,"*",1700,275000,0.6,0.6,4300,274100,1.6,0.9,2400,273100,0.9,0.7,3000,273500,1.1,0.7,5300,269900,2.0,1.1,4700,272500,1.7,1.0,5900,273500,2.1,1.1,5900,274200,2.2,1.1,6800,274300,2.5,1.2
"Blackburn with Darwen","E06000008",18800,140800,13.4,2.2,21500,141400,15.2,2.3,21400,143700,14.9,2.4,20700,143400,14.4,2.5,25600,144700,17.7,2.8,24600,145100,17.0,2.7,25800,144800,17.8,2.9,23800,146000,16.3,2.7,26900,146100,18.4,2.9,27700,145700,19.0,2.9,25300,146100,17.4,2.7
"Blackpool","E06000009",600,139400,0.5,"*",1500,138300,1.1,0.8,1300,139200,0.9,0.7,1200,138400,0.9,0.7,1200,138100,0.9,0.6,1300,138400,1.0,0.7,1500,135600,1.1,0.8,1700,137400,1.2,0.8,2000,137600,1.5,0.9,1100,136600,0.8,0.7,1100,136100,0.8,0.7
"Cheshire East","E06000049",4300,354800,1.2,0.7,3500,357800,1.0,"*",5100,360500,1.4,1.1,5800,363000,1.6,1.1,2500,363800,0.7,"*",4200,364200,1.2,1.0,6300,366600,1.7,1.3,6100,368100,1.7,1.3,12100,368700,3.3,1.8,8600,370200,2.3,1.5,7800,371300,2.1,1.5
"Cheshire West and Chester","E06000050",3400,323600,1.1,0.6,3800,324700,1.2,1.1,4000,325500,1.2,1.1,2400,326200,0.7,"*",2300,326000,0.7,"*",3300,326500,1.0,1.0,3400,326300,1.1,"*",1800,327300,0.6,"*",2200,328100,0.7,"*",5300,329200,1.6,1.3,3300,330500,1.0,"*"
"Halton","E06000006",700,119500,0.6,0.5,700,120800,0.6,0.5,800,121100,0.7,0.6,500,122000,0.4,"*",700,122600,0.6,0.6,700,123900,0.6,0.6,1100,123600,0.9,0.8,1400,124600,1.1,0.8,500,125100,0.4,"*",1000,125600,0.8,0.7,1100,125900,0.9,0.7
"Warrington","E06000007",1200,190200,0.6,0.6,2600,191900,1.3,0.8,2500,194200,1.3,0.8,3100,195400,1.6,0.8,4400,197100,2.3,1.1,3700,198200,1.8,1.0,3700,197500,1.9,1.1,5300,200200,2.6,1.3,3300,202000,1.7,1.0,3500,203300,1.7,1.0,3600,205000,1.7,1.1
"Allerdale","E07000026","!",93300,"!","!","!",93800,"!","!","!",94400,"!","!","!",94700,"!","!","!",94900,"!","!","!",94800,"!","!","!",94100,"!","!","!",94300,"!","!","!",94800,"!","!","!",95000,"!","!","!",95300,"!","!"
"Barrow-in-Furness","E07000027","~",69800,0.4,"*","!",69600,"!","!","!",69400,"!","!","!",69200,"!","!","!",69100,"!","!","!",68800,"!","!","!",68000,"!","!","#",67800,1.6,"*","#",67200,1.3,"*","#",67100,1.1,"*","!",67000,"!","!"
"Carlisle","E07000028",500,104400,0.5,"*","!",105500,"!","!","!",106100,"!","!","!",106000,"!","!",2200,105800,2.1,"*",2200,105800,2.1,"*","#",106200,1.0,"*","!",106700,"!","!","#",106800,1.2,"*","!",106800,"!","!",1600,106800,1.5,"*"
