
"annual population survey"
"ONS Crown Copyright Reserved [from Nomis on 8 April 2019]"
"Analysis   :","variable"
"Confidence :","95% confidence interval of percent figure (+/-)"
"Date       :","Jul 2015-Jun 2016"

"local authority: district / unitary (prior to April 2015)","mnemonic","Numerator","Denominator","Percentage of population who are white UK national","Conf","Numerator","Denominator","Percentage of population who are white not UK national","Conf","Numerator","Denominator","Percentage of population who are ethnic minority UK national","Conf","Numerator","Denominator","Percentage of population who are ethnic minority not UK national","Conf"

"Darlington","E06000005",94800,103700,91.4,2.1,4500,103700,4.3,1.5,3100,103700,3.0,1.3,1300,103700,1.3,0.8
"County Durham","E06000047",496900,513200,96.8,1.4,8600,513200,1.7,1.0,4700,513200,0.9,0.8,3100,513200,0.6,0.6
"Hartlepool","E06000001",88100,91500,96.2,1.4,1300,91500,1.5,0.9,1800,91500,2.0,1.0,"~",91500,0.4,"*"
"Middlesbrough","E06000002",117300,138600,84.6,2.7,4100,138600,3.0,1.3,11600,138600,8.4,2.1,5600,138600,4.0,1.5
"Northumberland","E06000057",303300,309900,97.9,1.1,3500,309900,1.1,0.8,2200,309900,0.7,0.6,"#",309900,0.3,"*"
"Redcar and Cleveland","E06000003",130500,133300,97.9,1.1,700,133300,0.5,"*",1800,133300,1.4,0.9,"~",133300,0.2,"*"
"Stockton-on-Tees","E06000004",178500,192200,92.9,2.3,3200,192200,1.7,1.1,7300,192200,3.8,1.7,3300,192200,1.7,1.1
"Gateshead","E08000037",185000,198300,93.3,2.0,4800,198300,2.4,1.2,3600,198300,1.8,1.1,4800,198300,2.4,1.3
"Newcastle upon Tyne","E08000021",235500,290400,81.1,3.1,8400,290400,2.9,1.3,20600,290400,7.1,2.1,26000,290400,8.9,2.3
"North Tyneside","E08000022",189800,202500,93.7,2.0,4600,202500,2.3,1.2,6200,202500,3.1,1.4,1900,202500,0.9,0.8
"South Tyneside","E08000023",139900,147500,94.9,1.7,900,147500,0.6,0.6,4000,147500,2.7,1.2,2600,147500,1.8,1.0
"Sunderland","E08000024",260300,275200,94.6,1.9,3100,275200,1.1,0.9,8300,275200,3.0,1.4,3500,275200,1.3,0.9
"Blackburn with Darwen","E06000008",96400,144700,66.6,3.5,5100,144700,3.5,1.3,36700,144700,25.3,3.2,6600,144700,4.5,1.5
"Blackpool","E06000009",126800,135600,93.5,2.0,6600,135600,4.9,1.7,1700,135600,1.3,0.9,"~",135600,0.3,"*"
"Cheshire East","E06000049",350000,371000,94.3,2.6,8700,371000,2.3,1.7,6500,371000,1.8,1.5,5900,371000,1.6,1.4
"Cheshire West and Chester","E06000050",311400,330300,94.3,2.5,14400,330300,4.4,2.2,3100,330300,0.9,"*",1400,330300,0.4,"*"
"Halton","E06000006",120600,125600,96.0,1.5,3400,125600,2.7,1.2,1400,125600,1.1,0.8,"~",125600,0.2,"*"
"Warrington","E06000007",183200,205600,89.1,2.5,11700,205600,5.7,1.9,6600,205600,3.2,1.4,4000,205600,2.0,1.1
"Allerdale","E07000026",92600,95000,97.5,2.7,800,95000,0.8,"*","#",95000,1.1,"*","!",95000,"!","!"
"Barrow-in-Furness","E07000027",64900,66500,97.6,3.2,"!",66500,"!","!","!",66500,"!","!","#",66500,2.0,"*"
"Carlisle","E07000028",100000,107000,93.5,4.0,4600,107000,4.3,3.3,2100,107000,2.0,"*","!",107000,"!","!"
"Copeland","E07000029",67700,68200,99.3,1.7,"!",68200,"!","!","!",68200,"!","!","!",68200,"!","!"
"Eden","E07000030",51100,51700,98.8,2.6,"!",51700,"!","!","!",51700,"!","!","!",51700,"!","!"
"South Lakeland","E07000031",96400,100100,96.3,2.9,3000,100100,3.0,2.7,"!",100100,"!","!","!",100100,"!","!"
"Bolton","E08000001",217300,279100,77.9,3.3,8400,279100,3.0,1.4,41100,279100,14.7,2.8,12300,279100,4.4,1.6
"Bury","E08000002",157300,187000,84.1,3.1,4300,187000,2.3,1.3,19800,187000,10.6,2.6,5600,187000,3.0,1.4
"Manchester","E08000003",298600,525900,56.8,3.4,31600,525900,6.0,1.6,140700,525900,26.7,3.0,55000,525900,10.5,2.1
"Oldham","E08000004",162700,228700,71.1,3.5,5100,228700,2.2,1.1,47700,228700,20.8,3.2,13300,228700,5.8,1.8
