
"annual population survey"
"ONS Crown Copyright Reserved [from Nomis on 31 May 2019]"
"Analysis   :","variable"
"Confidence :","95% confidence interval of percent figure (+/-)"
"Variable   :","Percentage of population who are white not UK born"

"local authority: district / unitary (prior to April 2015)","mnemonic","Numerator","Denominator","Jan 2005-Dec 2005","Conf","Numerator","Denominator","Jan 2006-Dec 2006","Conf","Numerator","Denominator","Jan 2007-Dec 2007","Conf","Numerator","Denominator","Jan 2008-Dec 2008","Conf","Numerator","Denominator","Jan 2009-Dec 2009","Conf","Numerator","Denominator","Jan 2010-Dec 2010","Conf","Numerator","Denominator","Jan 2011-Dec 2011","Conf","Numerator","Denominator","Jan 2012-Dec 2012","Conf","Numerator","Denominator","Jan 2013-Dec 2013","Conf","Numerator","Denominator","Jan 2014-Dec 2014","Conf","Numerator","Denominator","Jan 2015-Dec 2015","Conf"

"Darlington","E06000005",2300,99100,2.3,1.1,2100,99800,2.1,1.1,3200,102600,3.2,1.3,3600,102000,3.5,1.4,4600,102800,4.5,1.6,4600,103500,4.5,1.6,3700,103200,3.6,1.5,4000,103800,3.8,1.5,4600,104200,4.4,1.5,4900,104300,4.7,1.5,6200,104600,5.9,1.7
"County Durham","E06000047",8000,489800,1.6,0.5,6100,492200,1.2,0.8,7600,494600,1.5,0.9,10700,498200,2.1,1.0,8100,500100,1.6,1.0,11300,503000,2.2,1.2,6700,505600,1.3,0.9,9700,506800,1.9,1.1,11900,508400,2.3,1.2,14900,509700,2.9,1.3,15300,511600,3.0,1.3
"Hartlepool","E06000001",1400,89600,1.5,0.8,1300,89900,1.5,0.8,1600,90100,1.8,1.0,1800,90300,2.0,1.0,1300,90600,1.4,0.9,1600,90800,1.7,1.0,1200,90300,1.3,0.9,1900,91100,2.1,1.0,1800,91700,2.0,1.0,1800,91600,1.9,0.9,2100,91500,2.3,1.0
"Middlesbrough","E06000002",2600,137000,1.9,0.9,3700,136400,2.7,1.1,3300,136700,2.4,1.1,3100,136700,2.3,1.0,2400,135800,1.8,1.0,3100,136000,2.3,1.1,2000,135200,1.5,0.9,2500,137200,1.8,1.0,2400,137300,1.7,1.0,4700,137800,3.4,1.3,4300,138000,3.1,1.2
"Northumberland","E06000057",5000,305400,1.6,0.6,3000,306500,1.0,0.7,4300,307700,1.4,0.9,5400,308700,1.7,1.0,8100,309100,2.6,1.3,7400,310000,2.4,1.2,6900,308300,2.2,1.2,6100,311100,2.0,1.1,6800,310800,2.2,1.1,4900,311100,1.6,0.9,6000,310500,1.9,1.0
"Redcar and Cleveland","E06000003",2800,136600,2.1,0.9,2100,136000,1.5,0.9,2600,135300,1.9,1.0,1500,135300,1.1,0.8,2100,134300,1.5,0.9,2300,134100,1.7,0.9,2100,132300,1.6,0.9,2200,133500,1.6,0.9,2500,133700,1.9,1.0,2000,133700,1.5,0.9,2200,133900,1.7,1.0
"Stockton-on-Tees","E06000004",3300,183300,1.8,1.0,2600,184300,1.4,0.9,2500,185000,1.3,0.9,3700,186100,2.0,1.1,3600,187100,1.9,1.1,2600,188100,1.4,0.9,2400,187500,1.3,0.8,3100,189400,1.6,1.0,3200,190400,1.7,1.0,4300,191200,2.2,1.2,3500,192000,1.8,1.2
"Gateshead","E08000037",1900,190100,1.0,0.7,2300,191400,1.2,0.8,2800,193000,1.4,0.9,3900,194000,2.0,1.0,4700,195000,2.4,1.2,6500,196500,3.3,1.4,5700,196700,2.9,1.3,5500,197200,2.8,1.3,6300,197500,3.2,1.4,4700,198000,2.4,1.2,4500,198800,2.3,1.2
"Newcastle upon Tyne","E08000021",8600,265100,3.2,1.2,8800,264500,3.3,1.3,9600,266700,3.6,1.4,9200,267100,3.4,1.4,8000,269000,3.0,1.3,7800,273400,2.8,1.3,11000,272200,4.0,1.6,8300,278100,3.0,1.3,12800,282100,4.5,1.5,13800,284600,4.9,1.6,13700,287200,4.8,1.6
