
"annual population survey"
"ONS Crown Copyright Reserved [from Nomis on 31 May 2019]"
"Analysis   :","variable"
"Confidence :","95% confidence interval of percent figure (+/-)"
"Variable   :","Percentage of population who are white UK born"

"local authority: district / unitary (prior to April 2015)","mnemonic","Numerator","Denominator","Jan 2005-Dec 2005","Conf","Numerator","Denominator","Jan 2006-Dec 2006","Conf","Numerator","Denominator","Jan 2007-Dec 2007","Conf","Numerator","Denominator","Jan 2008-Dec 2008","Conf","Numerator","Denominator","Jan 2009-Dec 2009","Conf","Numerator","Denominator","Jan 2010-Dec 2010","Conf","Numerator","Denominator","Jan 2011-Dec 2011","Conf","Numerator","Denominator","Jan 2012-Dec 2012","Conf","Numerator","Denominator","Jan 2013-Dec 2013","Conf","Numerator","Denominator","Jan 2014-Dec 2014","Conf","Numerator","Denominator","Jan 2015-Dec 2015","Conf"

"Darlington","E06000005",94300,99100,95.2,1.6,95000,99800,95.2,1.6,97000,102600,94.6,1.7,95700,102000,93.8,1.8,95200,102800,92.6,2.0,93600,103500,90.5,2.2,93400,103200,90.6,2.3,96600,103800,93.1,1.9,95300,104200,91.5,2.1,95900,104300,91.9,2.0,95000,104600,90.8,2.1
"County Durham","E06000047",478700,489800,97.7,0.6,479900,492200,97.5,1.1,475600,494600,96.2,1.3,477100,498200,95.8,1.4,483100,500100,96.6,1.4,481400,503000,95.7,1.6,490500,505600,97.0,1.4,489100,506800,96.5,1.4,485900,508400,95.6,1.6,489500,509700,96.0,1.5,487700,511600,95.3,1.7
"Hartlepool","E06000001",87700,89600,97.9,1.0,87800,89900,97.7,1.0,87800,90100,97.5,1.2,87700,90300,97.1,1.2,88700,90600,97.9,1.1,87900,90800,96.8,1.3,87100,90300,96.5,1.4,86400,91100,94.8,1.6,87400,91700,95.3,1.5,86900,91600,94.9,1.5,86900,91500,95.0,1.5
"Middlesbrough","E06000002",122500,137000,89.5,2.0,122800,136400,90.0,2.1,123100,136700,90.0,2.2,122200,136700,89.4,2.2,120700,135800,88.9,2.3,119600,136000,88.0,2.3,118000,135200,87.3,2.4,119500,137200,87.1,2.4,117900,137300,85.9,2.6,115700,137800,84.0,2.6,115600,138000,83.8,2.6
"Northumberland","E06000057",295100,305400,96.6,0.8,300200,306500,98.0,1.1,301500,307700,98.0,1.1,300700,308700,97.4,1.2,299300,309100,96.8,1.4,297400,310000,95.9,1.6,297100,308300,96.4,1.5,301100,311100,96.8,1.4,300200,310800,96.6,1.4,302800,311100,97.3,1.1,300200,310500,96.7,1.3
"Redcar and Cleveland","E06000003",132000,136600,96.6,1.2,132300,136000,97.3,1.1,131300,135300,97.1,1.2,132300,135300,97.8,1.1,130800,134300,97.4,1.2,130600,134100,97.4,1.1,127900,132300,96.7,1.3,129900,133500,97.3,1.2,130100,133700,97.3,1.2,130500,133700,97.6,1.1,129300,133900,96.6,1.4
"Stockton-on-Tees","E06000004",170400,183300,93.0,1.9,174900,184300,94.9,1.7,175400,185000,94.8,1.8,172400,186100,92.7,2.1,176400,187100,94.3,1.9,178600,188100,95.0,1.7,177100,187500,94.5,1.7,178900,189400,94.5,1.7,180600,190400,94.9,1.7,179200,191200,93.8,1.9,180400,192000,94.0,2.0
"Gateshead","E08000037",186200,190100,97.9,1.0,186200,191400,97.3,1.1,185400,193000,96.1,1.4,183400,194000,94.6,1.7,183500,195000,94.1,1.8,183500,196500,93.4,1.9,184700,196700,93.9,1.9,182200,197200,92.4,2.1,185900,197500,94.1,1.8,188500,198000,95.2,1.7,187900,198800,94.5,1.8
"Newcastle upon Tyne","E08000021",225000,265100,84.9,2.4,229200,264500,86.6,2.4,229300,266700,86.0,2.6,226100,267100,84.6,2.7,222000,269000,82.5,2.8,231300,273400,84.6,2.7,226100,272200,83.1,3.0,228100,278100,82.0,3.0,229300,282100,81.3,2.8,233400,284600,82.0,2.8,233700,287200,81.4,3.0
