"Title","CPIH INDEX 00: ALL ITEMS 2015=100"
"CDID","L522"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","22-05-2019"
"Next release","19 June 2019"
month, cpih_value
"1988 JAN","46.9"
"1988 FEB","47.0"
"1988 MAR","47.2"
"1988 APR","47.8"
"1988 MAY","48.0"
"1988 JUN","48.2"
"1988 JUL","48.2"
"1988 AUG","48.5"
"1988 SEP","48.7"
"1988 OCT","49.0"
"1988 NOV","49.3"
"1988 DEC","49.3"
"1989 JAN","49.5"
"1989 FEB","49.7"
"1989 MAR","50.0"
"1989 APR","50.5"
"1989 MAY","50.9"
"1989 JUN","51.0"
"1989 JUL","51.0"
"1989 AUG","51.1"
"1989 SEP","51.5"
"1989 OCT","51.9"
"1989 NOV","52.1"
"1989 DEC","52.2"
"1990 JAN","52.4"
"1990 FEB","52.9"
"1990 MAR","53.1"
"1990 APR","54.4"
"1990 MAY","55.0"
"1990 JUN","55.2"
"1990 JUL","55.2"
"1990 AUG","55.7"
"1990 SEP","56.2"
"1990 OCT","56.7"
"1990 NOV","56.9"
"1990 DEC","57.0"
"1991 JAN","57.0"
"1991 FEB","57.2"
"1991 MAR","57.5"
"1991 APR","58.7"
"1991 MAY","59.2"
"1991 JUN","59.5"
"1991 JUL","59.3"
"1991 AUG","59.9"
"1991 SEP","60.1"
"1991 OCT","60.4"
"1991 NOV","60.5"
"1991 DEC","60.7"
"1992 JAN","60.5"
"1992 FEB","60.8"
"1992 MAR","61.1"
"1992 APR","61.8"
"1992 MAY","62.2"
"1992 JUN","62.2"
"1992 JUL","62.0"
"1992 AUG","62.1"
"1992 SEP","62.3"
"1992 OCT","62.5"
"1992 NOV","62.5"
"1992 DEC","62.6"
"1993 JAN","62.4"
"1993 FEB","62.7"
"1993 MAR","63.0"
"1993 APR","63.4"
"1993 MAY","63.6"
"1993 JUN","63.6"
"1993 JUL","63.4"
"1993 AUG","63.7"
"1993 SEP","64.0"
"1993 OCT","64.0"
"1993 NOV","63.8"
"1993 DEC","64.0"
"1994 JAN","64.0"
"1994 FEB","64.2"
"1994 MAR","64.4"
"1994 APR","64.9"
"1994 MAY","65.1"
"1994 JUN","65.1"
"1994 JUL","64.7"
"1994 AUG","65.1"
"1994 SEP","65.2"
"1994 OCT","65.1"
"1994 NOV","65.2"
"1994 DEC","65.5"
"1995 JAN","65.5"
"1995 FEB","65.7"
"1995 MAR","66.0"
"1995 APR","66.4"
"1995 MAY","66.7"
"1995 JUN","66.8"
"1995 JUL","66.6"
"1995 AUG","66.9"
"1995 SEP","67.2"
"1995 OCT","67.1"
"1995 NOV","67.1"
"1995 DEC","67.5"
"1996 JAN","67.4"
"1996 FEB","67.7"
"1996 MAR","67.9"
"1996 APR","68.3"
"1996 MAY","68.6"
"1996 JUN","68.7"
"1996 JUL","68.3"
"1996 AUG","68.7"
"1996 SEP","69.0"
"1996 OCT","69.1"
"1996 NOV","69.2"
"1996 DEC","69.4"
"1997 JAN","69.2"
"1997 FEB","69.3"
"1997 MAR","69.4"
"1997 APR","69.7"
"1997 MAY","70.0"
"1997 JUN","70.1"
"1997 JUL","70.0"
"1997 AUG","70.3"
"1997 SEP","70.5"
"1997 OCT","70.6"
"1997 NOV","70.6"
"1997 DEC","70.7"
"1998 JAN","70.4"
"1998 FEB","70.6"
"1998 MAR","70.8"
"1998 APR","71.2"
"1998 MAY","71.5"
"1998 JUN","71.4"
"1998 JUL","71.2"
"1998 AUG","71.4"
"1998 SEP","71.7"
"1998 OCT","71.7"
"1998 NOV","71.8"
"1998 DEC","72.0"
"1999 JAN","71.8"
"1999 FEB","71.9"
"1999 MAR","72.3"
"1999 APR","72.6"
"1999 MAY","72.8"
"1999 JUN","72.7"
"1999 JUL","72.4"
"1999 AUG","72.6"
"1999 SEP","72.8"
"1999 OCT","72.8"
"1999 NOV","72.9"
"1999 DEC","73.1"
"2000 JAN","72.6"
"2000 FEB","72.8"
"2000 MAR","73.0"
"2000 APR","73.3"
"2000 MAY","73.5"
"2000 JUN","73.6"
"2000 JUL","73.3"
"2000 AUG","73.3"
"2000 SEP","73.8"
"2000 OCT","73.8"
"2000 NOV","74.0"
"2000 DEC","74.0"
"2001 JAN","73.5"
"2001 FEB","73.7"
"2001 MAR","73.9"
"2001 APR","74.4"
"2001 MAY","74.9"
"2001 JUN","75.0"
"2001 JUL","74.5"
"2001 AUG","74.8"
"2001 SEP","75.0"
"2001 OCT","74.9"
"2001 NOV","74.9"
"2001 DEC","75.0"
"2002 JAN","74.8"
"2002 FEB","75.0"
"2002 MAR","75.2"
"2002 APR","75.6"
"2002 MAY","75.8"
"2002 JUN","75.8"
"2002 JUL","75.6"
"2002 AUG","75.8"
"2002 SEP","76.0"
"2002 OCT","76.1"
"2002 NOV","76.1"
"2002 DEC","76.3"
"2003 JAN","75.9"
"2003 FEB","76.1"
"2003 MAR","76.4"
"2003 APR","76.8"
"2003 MAY","76.8"
"2003 JUN","76.7"
"2003 JUL","76.6"
"2003 AUG","76.8"
"2003 SEP","77.0"
"2003 OCT","77.1"
"2003 NOV","77.1"
"2003 DEC","77.3"
"2004 JAN","77.0"
"2004 FEB","77.2"
"2004 MAR","77.3"
"2004 APR","77.6"
"2004 MAY","77.9"
"2004 JUN","77.9"
"2004 JUL","77.7"
"2004 AUG","77.9"
"2004 SEP","77.9"
"2004 OCT","78.1"
"2004 NOV","78.3"
"2004 DEC","78.6"
"2005 JAN","78.3"
"2005 FEB","78.5"
"2005 MAR","78.8"
"2005 APR","79.1"
"2005 MAY","79.4"
"2005 JUN","79.4"
"2005 JUL","79.5"
"2005 AUG","79.7"
"2005 SEP","79.9"
"2005 OCT","80.0"
"2005 NOV","80.0"
"2005 DEC","80.3"
"2006 JAN","80.0"
"2006 FEB","80.2"
"2006 MAR","80.4"
"2006 APR","80.9"
"2006 MAY","81.3"
"2006 JUN","81.5"
"2006 JUL","81.5"
"2006 AUG","81.8"
"2006 SEP","81.9"
"2006 OCT","82.0"
"2006 NOV","82.2"
"2006 DEC","82.6"
"2007 JAN","82.1"
"2007 FEB","82.4"
"2007 MAR","82.8"
"2007 APR","83.1"
"2007 MAY","83.3"
"2007 JUN","83.5"
"2007 JUL","83.1"
"2007 AUG","83.4"
"2007 SEP","83.5"
"2007 OCT","83.8"
"2007 NOV","84.1"
"2007 DEC","84.5"
"2008 JAN","84.1"
"2008 FEB","84.6"
"2008 MAR","84.9"
"2008 APR","85.6"
"2008 MAY","86.1"
"2008 JUN","86.6"
"2008 JUL","86.6"
"2008 AUG","87.1"
"2008 SEP","87.5"
"2008 OCT","87.3"
"2008 NOV","87.3"
"2008 DEC","87.1"
"2009 JAN","86.6"
"2009 FEB","87.2"
"2009 MAR","87.3"
"2009 APR","87.5"
"2009 MAY","87.9"
"2009 JUN","88.1"
"2009 JUL","88.0"
"2009 AUG","88.3"
"2009 SEP","88.3"
"2009 OCT","88.4"
"2009 NOV","88.6"
"2009 DEC","88.9"
"2010 JAN","88.8"
"2010 FEB","89.0"
"2010 MAR","89.4"
"2010 APR","89.9"
"2010 MAY","90.1"
"2010 JUN","90.2"
"2010 JUL","90.0"
"2010 AUG","90.4"
"2010 SEP","90.4"
"2010 OCT","90.6"
"2010 NOV","90.9"
"2010 DEC","91.7"
"2011 JAN","91.8"
"2011 FEB","92.3"
"2011 MAR","92.6"
"2011 APR","93.3"
"2011 MAY","93.5"
"2011 JUN","93.5"
"2011 JUL","93.5"
"2011 AUG","93.9"
"2011 SEP","94.5"
"2011 OCT","94.5"
"2011 NOV","94.7"
"2011 DEC","95.0"
"2012 JAN","94.7"
"2012 FEB","95.2"
"2012 MAR","95.4"
"2012 APR","95.9"
"2012 MAY","95.9"
"2012 JUN","95.6"
"2012 JUL","95.7"
"2012 AUG","96.1"
"2012 SEP","96.4"
"2012 OCT","96.8"
"2012 NOV","97.0"
"2012 DEC","97.3"
"2013 JAN","97.0"
"2013 FEB","97.5"
"2013 MAR","97.8"
"2013 APR","98.0"
"2013 MAY","98.2"
"2013 JUN","98.0"
"2013 JUL","98.0"
"2013 AUG","98.4"
"2013 SEP","98.7"
"2013 OCT","98.8"
"2013 NOV","98.8"
"2013 DEC","99.2"
"2014 JAN","98.7"
"2014 FEB","99.1"
"2014 MAR","99.3"
"2014 APR","99.6"
"2014 MAY","99.6"
"2014 JUN","99.8"
"2014 JUL","99.6"
"2014 AUG","99.9"
"2014 SEP","100.0"
"2014 OCT","100.1"
"2014 NOV","99.9"
"2014 DEC","99.9"
"2015 JAN","99.2"
"2015 FEB","99.5"
"2015 MAR","99.6"
"2015 APR","99.9"
"2015 MAY","100.1"
"2015 JUN","100.1"
"2015 JUL","100.0"
"2015 AUG","100.3"
"2015 SEP","100.2"
"2015 OCT","100.3"
"2015 NOV","100.3"
"2015 DEC","100.4"
"2016 JAN","99.9"
"2016 FEB","100.1"
"2016 MAR","100.4"
"2016 APR","100.6"
"2016 MAY","100.8"
"2016 JUN","101.0"
"2016 JUL","100.9"
"2016 AUG","101.2"
"2016 SEP","101.5"
"2016 OCT","101.6"
"2016 NOV","101.8"
"2016 DEC","102.2"
"2017 JAN","101.8"
"2017 FEB","102.4"
"2017 MAR","102.7"
"2017 APR","103.2"
"2017 MAY","103.5"
"2017 JUN","103.5"
"2017 JUL","103.5"
"2017 AUG","104.0"
"2017 SEP","104.3"
"2017 OCT","104.4"
"2017 NOV","104.7"
"2017 DEC","105.0"
"2018 JAN","104.5"
"2018 FEB","104.9"
"2018 MAR","105.1"
"2018 APR","105.5"
"2018 MAY","105.9"
"2018 JUN","105.9"
"2018 JUL","105.9"
"2018 AUG","106.5"
"2018 SEP","106.6"
"2018 OCT","106.7"
"2018 NOV","106.9"
"2018 DEC","107.1"
"2019 JAN","106.4"
"2019 FEB","106.8"
"2019 MAR","107.0"
"2019 APR","107.6"
