,,,,,,,,,,,,,,,
model-based estimates of unemployment,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 30 March 2019],,,,,,,,,,,,,,,
Analysis   :,standard,,,,,,,,,,,,,,
Item Name  :,Unemployment rate (model based),,,,,,,,,,,,,,
Confidence :,95% confidence interval (+/-),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LA_Name,LA_Code,Jul09_Jun10,Conf_0910,Jul10_Jun11,Conf_1011,Jul11_Jun12,Conf_1112,Jul12_Jun13,Conf_1213,Jul13_Jun14,Conf_1314,Jul14_Jun15,Conf_1415,Jul15_Jun16,Conf_1516
Darlington,E06000005,8.9,1.3,8.4,1.3,9.9,1.5,9.8,1.6,8.5,1.3,7,1.2,7.1,1.1
County Durham,E06000047,8.8,-,8.3,-,10,-,8.9,-,8.7,-,6.6,-,7,-
Hartlepool,E06000001,11.9,1.6,12.5,1.7,16.3,2.1,13.2,1.9,12.5,1.7,10.4,1.5,9.8,1.4
Middlesbrough,E06000002,13.1,1.7,15.1,1.9,15.6,2.1,15.6,2.2,13.4,1.9,10.7,1.6,10,1.5
Northumberland,E06000057,7.3,-,7.5,-,8.4,-,6.8,-,7,-,6.1,-,6.2,-
Redcar and Cleveland,E06000003,12,1.6,12.1,1.7,13.7,1.9,11.8,1.8,9.2,1.5,8.3,1.4,8.9,1.4
Stockton-on-Tees,E06000004,9.2,1.3,9.5,1.4,10.7,1.6,10.5,1.8,9.2,1.5,7.4,1.3,7.4,1.2
Gateshead,E08000037,9.1,1.3,10.1,1.5,11.9,1.7,8.9,1.6,8.6,1.4,7.2,1.2,7.1,1.1
Newcastle upon Tyne,E08000021,10.6,1.5,9.4,1.4,10.8,1.7,11.1,1.8,10.2,1.6,8.6,1.5,9,1.4
North Tyneside,E08000022,8.3,1.2,9,1.3,10.7,1.6,7.9,1.4,7.9,1.4,6.3,1.1,6.9,1.1
South Tyneside,E08000023,13.5,1.7,11,1.5,13,1.7,12.3,1.8,10.8,1.5,8.7,1.4,9.3,1.4
Sunderland,E08000024,11.2,1.5,10.7,1.5,12.2,1.7,10.4,1.7,10.1,1.6,8.3,1.4,8,1.3
Blackburn with Darwen,E06000008,8.8,1.2,9,1.4,9.8,1.5,9,1.6,8.6,1.4,7.3,1.3,7.3,1.1
Blackpool,E06000009,8.8,1.2,10.1,1.4,10.6,1.6,9.3,1.6,9.9,1.6,7.8,1.5,6.3,1.1
Cheshire East,E06000049,6,-,5.6,-,6.1,-,5.6,-,5.1,-,3.7,-,3.3,-
Cheshire West and Chester,E06000050,6.8,-,6.5,-,7.4,-,6.2,-,5.6,-,4.3,-,4.1,-
Halton,E06000006,10,1.3,9.6,1.4,10.8,1.6,9.6,1.6,8,1.3,6,1.1,5.2,0.9
Warrington,E06000007,6.6,1,6,1,7.2,1.2,6.6,1.3,5.5,1,4.5,0.9,3.9,0.7
Allerdale,E07000026,5.7,1.4,6.6,1.6,7.4,1.8,6.4,1.8,6.7,1.7,5,1.4,4,1
Barrow-in-Furness,E07000027,6.7,1.9,9,2.5,9.4,2.4,8.8,2.7,7.9,2.3,7.2,2,5.7,1.5
Carlisle,E07000028,5.7,1.3,6.2,1.5,6.7,1.6,5,1.4,6,1.5,3.7,1,3.6,0.9
Copeland,E07000029,6.7,1.7,7.1,2,8.2,2.4,7.3,2.2,6.7,1.9,5.5,1.6,5.4,1.5
Eden,E07000030,3.2,1,3.9,1.3,3.4,1.1,2.8,1,2.8,0.9,2.2,0.8,2.2,0.8
South Lakeland,E07000031,3.3,0.9,3.4,0.9,3.4,0.9,2.7,0.8,3,0.9,2.5,0.8,2.5,0.7
Bolton,E08000001,9.2,1.3,8.1,1.3,9.6,1.5,9.3,1.5,9.1,1.4,6.2,1.1,6.5,1.1
Bury,E08000002,8,1.1,7.1,1.2,8.4,1.4,7.9,1.4,6.8,1.3,6.2,1.2,5.1,0.9
Manchester,E08000003,11.9,1.5,11.2,1.5,12.9,1.7,12,1.7,10.2,1.5,8.1,1.3,7.6,1.1
Oldham,E08000004,9,1.2,9.3,1.4,10.7,1.6,9.8,1.6,9.3,1.5,7.1,1.3,6.7,1.1
Rochdale,E08000005,10.1,1.3,9.2,1.3,11,1.6,9.7,1.6,10.2,1.5,7,1.3,7.2,1.1
Salford,E08000006,10.4,1.4,9.4,1.4,10,1.5,11.1,1.8,10.1,1.5,6.9,1.2,7,1.1
Stockport,E08000007,7.2,1,6.6,1.1,7.3,1.2,6.3,1.2,5.8,1,5.2,0.9,4.2,0.7
Tameside,E08000008,8.3,1.2,9.8,1.5,10.1,1.6,9,1.6,8.6,1.4,5.2,1,5.7,1
Trafford,E08000009,7.2,1,6.2,1,7.3,1.2,6.6,1.2,5.9,1,5,0.9,3.7,0.7
Wigan,E08000010,8.2,1.1,8.3,1.3,9.1,1.4,8.4,1.5,8.4,1.4,5.2,1,5.1,0.9
Burnley,E07000117,8.7,2.2,7.2,1.9,8.3,2.4,9.5,3.2,10.2,3.1,7.1,2,6,1.6
Chorley,E07000118,5.5,1.3,5,1.2,5.8,1.5,5.3,1.5,4.7,1.2,3.9,1.1,3.4,1
Fylde,E07000119,4.6,1.4,5.1,1.5,5.3,1.7,4.2,1.4,5.1,1.7,3.8,1.2,3.8,1.2
Hyndburn,E07000120,8,2,7.1,1.9,7.4,2.1,7.7,2.5,8.2,2.5,6.1,1.9,5.7,1.8
Lancaster,E07000121,6,1.4,6.2,1.5,7,1.9,7,2,6.8,1.7,5.1,1.4,5,1.3
Pendle,E07000122,7.2,1.8,7.5,2,8.7,2.6,8.2,2.6,8.4,2.4,5.3,1.7,5.2,1.6
Preston,E07000123,8.9,1.8,7.8,1.7,9.1,2.1,7.4,2,7.4,1.8,5.5,1.4,5.7,1.4
Ribble Valley,E07000124,3.8,1.3,3.6,1.2,3.8,1.3,3.5,1.5,4.3,1.6,3.3,1.2,2.6,1
Rossendale,E07000125,8.2,2.6,8.1,2.5,8.2,2.4,5.9,2.1,7.8,2.6,4.6,1.5,4.9,1.6
South Ribble,E07000126,5.7,1.3,5,1.2,5.6,1.5,5,1.5,5.7,1.6,4.4,1.3,3.1,0.9
West Lancashire,E07000127,7.9,1.8,6.1,1.6,8,2.1,6.9,1.9,6.9,1.8,5,1.4,4.4,1.2
Wyre,E07000128,4.4,1.1,5.2,1.4,6.3,1.7,5.9,1.8,5.2,1.5,3.9,1.2,4,1.1
Knowsley,E08000011,10.9,1.6,12.1,1.8,12.6,1.9,11.7,2,9.8,1.7,7.9,1.4,6.4,1.2
Liverpool,E08000012,12,1.6,11.9,1.7,11,1.8,11.5,1.8,12.6,1.9,10.2,1.7,7.6,1.4
Sefton,E08000014,8.6,1.3,9.6,1.5,8.7,1.6,8.3,1.6,8.4,1.5,5.3,1.1,5.3,1
St. Helens,E08000013,8.2,1.3,9.1,1.5,9.2,1.6,7.8,1.5,10,1.7,7.5,1.4,5.9,1.1
Wirral,E08000015,8.6,1.3,8.9,1.4,8.1,1.4,7.1,1.4,8.1,1.5,6.2,1.2,4.8,1
East Riding of Yorkshire,E06000011,6.6,1,6.2,1,7,1.2,6.5,1.2,5.7,1.1,4.7,0.9,3.9,0.7
"Kingston upon Hull, City of",E06000010,14.1,1.7,14.4,1.8,15.8,1.9,14.8,2,12.6,1.8,10.5,1.7,8,1.3
North East Lincolnshire,E06000012,11,1.4,11.2,1.6,12.3,1.7,11.3,1.7,9.7,1.5,8.6,1.4,6.8,1.1
North Lincolnshire,E06000013,8,1.1,7.8,1.2,8.4,1.3,7.6,1.4,6.7,1.2,5.6,1.1,6,1.1
York,E06000014,6.5,1,6.4,1.1,6.4,1.1,5.6,1,5,0.9,3.9,0.8,3.5,0.7
